model,IoU,F1,Precision,Recall,dtheta
JIN,0.38338658146556565,0.5542725173167493,0.40862656072180903,0.8612440191181521,13.097667694091797
ROSS,0.3523809523772235,0.5211267605593026,0.37797956866767335,0.8387909319687962,11.529930114746094
XU,0.5180722891521681,0.6825396825358133,0.6833144154292473,0.68176670440904,7.265277862548828
