event,label,gt,IoU,F1,Precision,Recall,delta_theta_deg,paper_iou,paper_dtheta
kumamoto,Kumamoto 2016,kumamoto_cv,0.5636969192292782,0.7209797657043612,0.6115627822889652,0.8780804150340067,11.300643920898438,0.439,18.2
Miyagi,Iwate–Miyagi 2008,Miyagi_rp,0.37329931972471686,0.5436532507706275,0.46016771487987246,0.6641452344831446,40.18220567703247,0.368,42.6
Tottori,Tottori 2000,Tottori_rp,0.3038869257843149,0.46612466123398033,0.3038869257843149,0.999999999883721,20.664579927921295,0.306,4.6
ridgecrest,Ridgecrest 2019,ridgecrest_XU,0.5180722891521681,0.6825396825358133,0.6833144154292473,0.68176670440904,7.265277862548828,0.521,12.2
chichi,Chi-Chi 1999,chichi_CHI,0.5873579545433688,0.740044742727651,0.7615101289099379,0.7197563098315067,9.636245727539062,0.587,9.6
Menyuan,Menyuan 2022,Menyuan_pku,0.2807017543761157,0.4383561643715519,0.30769230768047334,0.7619047618321996,26.454601287841797,0.281,26.5
