event,IoU,F1,Precision,Recall,TP,FP,FN,TN,dtheta
Tottori,0.3038869257843149,0.46612466123398033,0.3038869257843149,0.999999999883721,86,197,0,22217,20.664579927921295
Miyagi,0.37329931972471686,0.5436532507706275,0.46016771487987246,0.6641452344831446,439,515,222,21324,40.18220567703247
