t_s,iou_tv,dtheta,valid
4.0677967,0.0,,1
4.745763,0.0,,1
5.423729,0.13654618473621394,51.92072296142578,1
6.101695,0.184060721059126,5.835426330566406,1
6.779661,0.2198198198158591,10.577224731445312,1
7.4576273,0.28694158075108345,5.19976806640625,1
8.135593,0.3706070287480734,5.336128234863281,1
8.81356,0.3697604790363808,9.401199340820312,1
9.491526,0.3832853025881371,0.979766845703125,1
10.169492,0.42857142856559766,0.715118408203125,1
10.847458,0.4196547144698585,0.7872238159179688,1
11.525424,0.40616966580454794,1.0247650146484375,1
12.20339,0.40097205345806836,5.4493560791015625,1
12.881356,0.39882352940707266,4.670768737792969,1
13.559322,0.41156069363686054,1.118438720703125,1
14.237288,0.4232505643293087,6.418037414550781,1
14.915255,0.42087542087069724,6.339378356933594,1
15.593221,0.43969298245131916,7.6414031982421875,1
16.271187,0.4628820960648157,7.875251770019531,1
16.949152,0.48712446351408667,8.199470520019531,1
17.62712,0.49186991869418834,8.660171508789062,1
18.305084,0.5065326633114922,9.0657958984375,1
18.983051,0.546442687741636,8.044479370117188,1
19.661016,0.5700483091732363,8.129913330078125,1
20.338984,0.5821325648359066,7.8546295166015625,1
21.016949,0.5829338446732222,7.799797058105469,1
21.694916,0.593572778822367,8.120979309082031,1
22.37288,0.5861759425441098,9.576194763183594,1
23.050848,0.592462751966762,9.432334899902344,1
23.728813,0.580257510724633,10.216987609863281,1
24.40678,0.5636969192292782,11.300643920898438,1
25.084745,0.5604304635715197,11.434494018554688,0
25.762712,0.5437751003972388,12.902999877929688,0
26.440678,0.5313971742501461,13.960586547851562,0
27.118645,0.5313971742501461,13.960586547851562,0
27.79661,0.5627943485042167,12.129608154296875,0
28.474577,0.5719874804337091,11.530807495117188,0
29.152542,0.5697583787952475,11.542633056640625,0
29.83051,0.562740569664644,12.001319885253906,0
30.508474,0.5614439324073622,12.001976013183594,0
31.186441,0.5614439324073622,12.001976013183594,0
31.864407,0.5605828220815907,12.008079528808594,0
32.542374,0.5604900459375154,12.007865905761719,0
33.22034,0.5608263198120825,11.982902526855469,0
33.898304,0.5608263198120825,11.982902526855469,0
34.57627,0.5608263198120825,11.982902526855469,0
35.25424,0.5574144486649627,12.15557861328125,0
35.932205,0.5569908814547342,12.156028747558594,0
36.61017,0.5412979350992531,11.262680053710938,0
37.288136,0.5079584775051352,9.642623901367188,0
37.966103,0.4750809061457924,7.228553771972656,0
38.64407,0.4340626847993255,4.3851470947265625,0
39.322033,0.4277389277364351,3.9885330200195312,0
40.0,0.42501447596742903,3.7078704833984375,0
